Queries,No of Overlapping Results,Percent Overlap,Spearman Coefficient
Query1,3,0.3,-8.5
Query2,5,0.5,-1.75
Query3,1,0.1,1
Query4,3,0.3,-16.25
Query5,4,0.4,-1.5
Query6,2,0.2,-3.0
Query7,2,0.2,-7.0
Query8,1,0.1,0
Query9,4,0.4,-0.5
Query10,0,0.0,0
Query11,5,0.5,0.5
Query12,2,0.2,-24.0
Query13,1,0.1,0
Query14,2,0.2,-40.0
Query15,2,0.2,-71.0
Query16,6,0.6,0.08571428571428574
Query17,5,0.5,0.09999999999999998
Query18,1,0.1,0
Query19,4,0.4,-4.1
Query20,3,0.3,-1.75
Query21,3,0.3,-21.25
Query22,0,0.0,0
Query23,2,0.2,-48.0
Query24,7,0.7,0.1607142857142857
Query25,3,0.3,-9.5
Query26,2,0.2,-3.0
Query27,4,0.4,-5.6
Query28,3,0.3,-15.25
Query29,2,0.2,-7.0
Query30,1,0.1,0
Query31,4,0.4,0.4
Query32,6,0.6,-2.6285714285714286
Query33,2,0.2,-1.0
Query34,5,0.5,-2.15
Query35,0,0.0,0
Query36,1,0.1,0
Query37,3,0.3,-3.5
Query38,1,0.1,0
Query39,5,0.5,-2.65
Query40,3,0.3,-1.75
Query41,6,0.6,-3.5142857142857142
Query42,2,0.2,-7.0
Query43,4,0.4,-7.9
Query44,5,0.5,-1.2000000000000002
Query45,3,0.3,-14.5
Query46,5,0.5,-0.44999999999999996
Query47,4,0.4,-2.5
Query48,6,0.6,0.11428571428571432
Query49,5,0.5,-4.4
Query50,5,0.5,-3.4000000000000004
Query51,2,0.2,-8.0
Query52,5,0.5,-1.7999999999999998
Query53,7,0.7,0.1607142857142857
Query54,5,0.5,-1.7999999999999998
Query55,3,0.3,-6.25
Query56,5,0.5,0.35
Query57,4,0.4,-5.6
Query58,2,0.2,-79.0
Query59,2,0.2,-3.0
Query60,1,0.1,0
Query61,2,0.2,-9.0
Query62,4,0.4,-1.2000000000000002
Query63,5,0.5,0.95
Query64,5,0.5,-2.9
Query65,5,0.5,-4.25
Query66,2,0.2,-1.0
Query67,5,0.5,-2.1
Query68,5,0.5,-3.8499999999999996
Query69,2,0.2,-49.0
Query70,3,0.3,-8.5
Query71,5,0.5,0.6
Query72,0,0.0,0
Query73,0,0.0,0
Query74,2,0.2,-1.0
Query75,5,0.5,0.44999999999999996
Query76,6,0.6,-3.0857142857142854
Query77,5,0.5,0.25
Query78,1,0.1,0
Query79,4,0.4,-9.2
Query80,7,0.7,-0.6071428571428572
Query81,4,0.4,-4.3
Query82,3,0.3,1.0
Query83,2,0.2,1.0
Query84,1,0.1,0
Query85,1,0.1,0
Query86,3,0.3,-7.5
Query87,1,0.1,0
Query88,3,0.3,-12.25
Query89,3,0.3,-1.0
Query90,5,0.5,-0.10000000000000009
Query91,0,0.0,0
Query92,3,0.3,-17.5
Query93,4,0.4,-5.1
Query94,4,0.4,-6.9
Query95,4,0.4,-2.1
Query96,3,0.3,-5.25
Query97,3,0.3,-17.5
Query98,2,0.2,-16.0
Query99,3,0.3,-11.25
Query100,2,0.2,-19.0
Averages,3.21,0.321,-6.672642857142858
